nombre,url,categoria
Embajada del Perú en Estados Unidos (E-EstadosUnidos),https://www.gob.pe/embajada-del-peru-en-estados-unidos,Por clasificar
Consulado General del Perú en San Francisco (C-San Francisco),https://www.gob.pe/consulado-del-peru-en-san-francisco,Por clasificar
Consulado General del Perú en Paterson (C-Paterson),https://www.gob.pe/consulado-del-peru-en-paterson,Por clasificar
Representación Permanente del Perú Ante la Onu (rpponu),https://www.gob.pe/rpponu,Por clasificar
Consulado General del Perú en Chicago (C-Chicago),https://www.gob.pe/consulado-del-peru-en-chicago,Por clasificar
Consulado General del Perú en Dallas (C-Dallas),https://www.gob.pe/consulado-del-peru-en-dallas,Por clasificar
Consulado General del Perú en Orlando (C-Orlando),https://www.gob.pe/consulado-del-peru-en-orlando,Por clasificar
Embajada del Perú en Francia (E-Francia),https://www.gob.pe/embajada-del-peru-en-francia,Por clasificar
Sección Consular de la Embajada del Perú en la República de Ghana (C-Ghana),https://www.gob.pe/seccion-consular-republica-de-ghana,Por clasificar
Embajada del Perú en Ghana (E-Ghana),https://www.gob.pe/embajada-del-peru-en-ghana,Por clasificar
Embajada del Perú en Grecia (E-Grecia),https://www.gob.pe/embajada-del-peru-en-grecia,Por clasificar
Sección Consular de la Embajada del Perú en la República de Guatemala (C-Guatemala),https://www.gob.pe/seccion-consular-republica-de-guatemala,Por clasificar
Embajada del Perú en Honduras (E-Honduras),https://www.gob.pe/embajada-del-peru-en-honduras,Por clasificar
Sección Consular de la Embajada del Perú en la República de Honduras (C-Honduras),https://www.gob.pe/seccion-consular-republica-de-honduras,Por clasificar
Embajada del Perú en Hungría (E-Hungría),https://www.gob.pe/embajada-del-peru-en-hungria,Por clasificar
Sección Consular de la Embajada del Perú en Hungría (C-Hungría),https://www.gob.pe/seccion-consular-hungria,Por clasificar
Embajada del Perú en India (E-India),https://www.gob.pe/embajada-del-peru-en-india,Por clasificar
Sección Consular de la Embajada del Perú en la República de la India (C-India),https://www.gob.pe/seccion-consular-republica-de-la-india,Por clasificar
Embajada del Perú en Indonesia (E-Indonesia),https://www.gob.pe/embajada-del-peru-en-indonesia,Por clasificar
Sección Consular de la Embajada del Perú en Malasia (C-Malasia),https://www.gob.pe/seccion-consular-malasia,Por clasificar
Sección Consular de la Embajada del Perú en la República de Indonesia (C-Indonesia),https://www.gob.pe/seccion-consular-republica-de-indonesia,Por clasificar
Embajada del Perú en Irlanda (E-Irlanda),https://www.gob.pe/embajada-del-peru-en-irlanda,Por clasificar
Sección Consular de la Embajada del Perú en Irlanda (C-Irlanda),https://www.gob.pe/seccion-consular-irlanda,Por clasificar
Embajada del Perú en Israel (E-Israel),https://www.gob.pe/embajada-del-peru-en-israel,Por clasificar
Sección Consular de la Embajada del Perú en El Estado de Israel (C-Israel),https://www.gob.pe/seccion-consular-estado-de-israel,Por clasificar
Embajada del Perú en Italia (E-Italia),https://www.gob.pe/embajada-del-peru-en-italia,Por clasificar
Embajada del Perú en Japón (E-Japón),https://www.gob.pe/embajada-del-peru-en-japon,Por clasificar
Embajada del Perú en Kuwait (E-Kuwait),https://www.gob.pe/embajada-del-peru-en-kuwait,Por clasificar
Sección Consular de la Embajada del Perú en El Estado de Kuwait (C-Kuwait),https://www.gob.pe/seccion-consular-estado-de-kuwait,Por clasificar
Embajada del Perú en Malasia (E-Malasia),https://www.gob.pe/embajada-del-peru-en-malasia,Por clasificar
Embajada del Perú en Marruecos (E-Marruecos),https://www.gob.pe/embajada-del-peru-en-marruecos,Por clasificar
Sección Consular de la Embajada del Perú en El Reino de Marruecos (C-Marruecos),https://www.gob.pe/seccion-consular-reino-de-marruecos,Por clasificar
Embajada del Perú en México (E-México),https://www.gob.pe/embajada-del-peru-en-mexico,Por clasificar
Embajada del Perú en Nicaragua (E-Nicaragua),https://www.gob.pe/embajada-del-peru-en-nicaragua,Por clasificar
Sección Consular de la Embajada del Perú en la República de Nicaragua (C-Nicaragua),https://www.gob.pe/seccion-consular-republica-de-nicaragua,Por clasificar
Embajada del Perú en Nueva Zelanda (E-Nueva Zelanda),https://www.gob.pe/embajada-del-peru-en-nueva-zelanda,Por clasificar
Embajada del Perú en Panamá (E-Panamá),https://www.gob.pe/embajada-del-peru-en-panama,Por clasificar
Embajada del Perú en Paraguay (E-Paraguay),https://www.gob.pe/embajada-del-peru-en-paraguay,Por clasificar
Sección Consular de la Embajada del Perú en la República del Paraguay (C-Paraguay),https://www.gob.pe/seccion-consular-republica-del-paraguay,Por clasificar
Embajada del Perú en Países Bajos (E-PaisesBajos),https://www.gob.pe/embajada-del-peru-en-paises-bajos,Por clasificar
Embajada del Perú en Polonia (E-Polonia),https://www.gob.pe/embajada-del-peru-en-polonia,Por clasificar
Embajada del Perú en Portugal (E-Portugal),https://www.gob.pe/embajada-del-peru-en-portugal,Por clasificar
Embajada del Perú en Qatar (E-Qatar),https://www.gob.pe/embajada-del-peru-en-qatar,Por clasificar
Embajada del Perú en Reino Unido (E-Reino Unido),https://www.gob.pe/embajada-del-peru-en-reino-unido,Por clasificar
Embajada del Perú en República Checa (E-RepúblicaCheca),https://www.gob.pe/embajada-del-peru-en-republica-checa,Por clasificar
Embajada del Perú en República Dominicana (E-RepúblicaDominicana),https://www.gob.pe/embajada-del-peru-en-republica-dominicana,Por clasificar
Sección Consular de la Embajada del Perú en Rumanía (C-Rumanía),https://www.gob.pe/seccion-consular-rumania,Por clasificar
Embajada del Perú en Rumania (E-Rumania),https://www.gob.pe/embajada-del-peru-en-rumania,Por clasificar
Embajada del Perú en Rusia (E-Rusia),https://www.gob.pe/embajada-del-peru-en-rusia,Por clasificar
Embajada del Perú en Santa Sede (E-SantaSede),https://www.gob.pe/embajada-del-peru-en-santa-sede,Por clasificar
Embajada del Perú en Singapur (E-Singapur),https://www.gob.pe/embajada-del-peru-en-singapur,Por clasificar
Embajada del Perú en Sudáfrica (E-Sudáfrica),https://www.gob.pe/embajada-del-peru-en-sudafrica,Por clasificar
Sección Consular de la Embajada del Perú en la República de Sudáfrica (C-Sudáfrica),https://www.gob.pe/seccion-consular-republica-de-sudafrica,Por clasificar
Embajada del Perú en Suecia (E-Suecia),https://www.gob.pe/embajada-del-peru-en-suecia,Por clasificar
Sección Consular de la Embajada del Perú en El Reino de Suecia (C-Suecia),https://www.gob.pe/seccion-consular-reino-de-suecia,Por clasificar
Embajada del Perú en Suiza (E-Suiza),https://www.gob.pe/embajada-del-peru-en-suiza,Por clasificar
Representación Permanente del Perú Ante los Organismos Internacionales con Sede en Ginebra (RPPOOII),https://www.gob.pe/rppooii,Por clasificar
Embajada del Perú en Tailandia (E-Tailandia),https://www.gob.pe/embajada-del-peru-en-tailandia,Por clasificar
Sección Consular de la Embajada del Perú en El Reino de Tailandia (C-Tailandia),https://www.gob.pe/seccion-consular-reino-de-tailandia,Por clasificar
Embajada del Perú en Trinidad y Tobago (E-Trinidad y Tobago),https://www.gob.pe/embajada-del-peru-en-trinidad-y-tobago,Por clasificar
Embajada del Perú en Türkiye (E-Türkiye),https://www.gob.pe/embajada-del-peru-en-turquia,Por clasificar
Embajada del Perú en Venezuela (E-Venezuela),https://www.gob.pe/embajada-del-peru-en-venezuela,Por clasificar
Embajada del Perú en Vietnam (E-Vietnam),https://www.gob.pe/embajada-del-peru-en-vietnam,Por clasificar
Ministerio de Defensa (MINDEF),https://www.gob.pe/mindef,Por clasificar
Web de Ministerio de Defensa,http://www.gob.pe/mindef,Por clasificar
Agencia de Compras de las Fuerzas Armadas (ACFFAA),https://www.gob.pe/acffaa,Por clasificar
"Centro Nacional de Estimación, Prevención y Reducción del Riesgo de Desastres (CENEPRED)",https://www.gob.pe/cenepred,Por clasificar
Comisión Nacional de Investigación y Desarrollo Aeroespacial (CONIDA),https://www.gob.pe/conida,Por clasificar
Escuela Nacional de Marina Mercante (ENAMM),https://www.gob.pe/enamm,Por clasificar
Instituto Geográfico Nacional (IGN),https://www.gob.pe/ign,Por clasificar
Instituto Nacional de Defensa Civil (INDECI),https://www.gob.pe/indeci,Por clasificar
Instituto de Trasplantes de Órganos y Tejidos de las Fuerzas Armadas y Policía Nacional del Perú (ITOT),https://www.gob.pe/itot,Por clasificar
Oficina Previsional de las Fuerzas Armadas (OPREFA),https://www.gob.pe/oprefa,Por clasificar
Comando Conjunto de las Fuerzas Armadas (CCFFAA),https://www.gob.pe/ccffaa,Por clasificar
Ejército del Perú (EP),https://www.gob.pe/ejercito,Por clasificar
Hospital Militar Central Luis Arias Schreiber (HMC),https://www.gob.pe/hmc,Por clasificar
Fuerza Aérea del Perú (FAP),https://www.gob.pe/fap,Por clasificar
Marina de Guerra del Perú (MGP),https://www.gob.pe/marina,Por clasificar
Comité de Prevención y Control VIH/SIDA FFAA y PNP (COPRECOS),https://www.gob.pe/comite-de-prevencion-y-control-vih-sida-ffaa-y-pnp,Por clasificar
Benemérita Sociedad Fundadores de la Independencia (BSFI),https://www.gob.pe/bsfi,Por clasificar
Servicios Industriales de la Marina Iquitos S.R.L. (SIMA-Iquitos S.R.L.),https://www.gob.pe/simaiquitos,Por clasificar
Servicios Industriales de la Marina S.A. (SIMA-PERÚ S.A.),https://www.gob.pe/servicios-industriales-de-la-marina-s-a,Por clasificar
Ministerio de Economía y Finanzas (MEF),https://www.gob.pe/mef,Por clasificar
Web de Ministerio de Economía y Finanzas,https://www.mef.gob.pe/es,Por clasificar
Agencia de Promoción de la Inversión Privada (PROINVERSION),https://www.gob.pe/proinversion,Por clasificar
Central de Compras Públicas (PERÚ COMPRAS),https://www.gob.pe/perucompras,Por clasificar
Oficina de Normalización Previsional (ONP),https://www.gob.pe/onp,Por clasificar
Unidad Ejecutora 003 Proyecto de Transformacion Digital de la Onp (ONP Digital ),https://www.gob.pe/https:%2F%2Fwww.gob.pe%2Fue003-onp,Por clasificar
Unidad Ejecutora 003:proyecto de Transformacion Digital de la Onp (ONP Dgital),https://www.gob.pe/onpdigital,Por clasificar
Organismo Especializado para las Contrataciones Públicas Eficientes (OECE),https://www.gob.pe/oece,Por clasificar
Superintendencia Nacional de Aduanas y de Administración Tributaria (SUNAT),https://www.gob.pe/sunat,Por clasificar
Superintendencia del Mercado de Valores (SMV),https://www.gob.pe/smv,Por clasificar
Fondo Nacional de Financiamiento de la Actividad Empresarial del Estado (FONAFE),https://www.gob.pe/fondo-nacional-de-financiamiento-de-la-actividad-empresarial-del-estado,Por clasificar
Banco Agropecuario (Agrobanco),https://www.gob.pe/agrobanco,Por clasificar
Banco de la Nación (BN),https://www.gob.pe/bn,Por clasificar
