nombre,url,categoria
Servicio Nacional de Sanidad Agraria del Perú (SENASA),https://www.gob.pe/senasa,SERVICIO
Agromercado (Agromercado),https://www.gob.pe/agromercado,OTROS
Nec - Proyecto Avanzar Rural (NECAR),https://www.gob.pe/avanzarrural,OTROS
Ministerio de Trabajo y Promoción del Empleo (MTPE),https://www.gob.pe/mtpe,MINISTERIO
Superintendencia Nacional de Fiscalización Laboral (SUNAFIL),https://www.gob.pe/sunafil,SUPERINTENDENCIA
Seguro Social de Salud (EsSalud),https://www.gob.pe/essalud,OTROS
Central de Abastecimiento de Bienes Estratégicos (CEABE),https://www.gob.pe/ceabe,OTROS
Centro Nacional de Salud Renal (CNSR),https://www.gob.pe/cnsr,CENTRO
Centro Nacional de Telemedicina (CENATE),https://www.gob.pe/cenate,CENTRO
Instituto de Evaluación de Tecnologías en Salud e Investigación (IETSI),https://www.gob.pe/ietsi,INSTITUTO
Instituto de Medicina Tradicional (IMET),https://www.gob.pe/imet,INSTITUTO
Instituto Nacional Cardiovascular (INCOR - ESSALUD),https://www.gob.pe/incor,INSTITUTO
Ministerio de la Producción (PRODUCE),https://www.gob.pe/produce,MINISTERIO
Instituto Nacional de Calidad (INACAL),https://www.gob.pe/inacal,INSTITUTO
Instituto Tecnológico de la Producción (ITP),https://www.gob.pe/itp,INSTITUTO
Instituto del Mar del Perú (IMARPE),https://www.gob.pe/imarpe,INSTITUTO
Ministerio de Comercio Exterior y Turismo (MINCETUR),https://www.gob.pe/mincetur,MINISTERIO
Centro de Formación en Turismo (CENFOTUR),https://www.gob.pe/cenfotur,CENTRO
Comisión de Promoción del Perú para la Exportación y El Turismo (PROMPERÚ),https://www.gob.pe/promperu,OTROS
Ministerio de Energía y Minas (MINEM),https://www.gob.pe/minem,MINISTERIO
Instituto Peruano de Energía Nuclear (IPEN),https://www.gob.pe/ipen,INSTITUTO
Consejo de Administración de Recursos para la Capacitación en Electricidad (CARELEC),https://www.gob.pe/consejo-de-administracion-de-recursos-para-la-capacitacion-en-electricidad,OTROS
"Instituto Geológico, Minero y Metalúrgico (INGEMMET)",https://www.gob.pe/ingemmet,INSTITUTO
Dirección General de Electrificación Rural (DGER),https://www.gob.pe/dger,OTROS
Activos Mineros S.a.c (AMSAC),https://www.gob.pe/amsac,OTROS
Electro Sur Este S.a.a. (ELSE),https://www.gob.pe/electrosureste,OTROS
Petróleos del Perú (PETROPERU),https://www.gob.pe/petroperu,OTROS
Sociedad Eléctrica del Sur Oeste S.A. (SEAL),https://www.gob.pe/seal,OTROS
Perúpetro S.A. (PERUPETRO),https://www.gob.pe/perupetro,OTROS
Ministerio de Transportes y Comunicaciones (MTC),https://www.gob.pe/mtc,MINISTERIO
"Superintendencia de Transporte Terrestre de Personas, Carga y Mercancías (SUTRAN)",https://www.gob.pe/sutran,SUPERINTENDENCIA
Corporación Peruana de Aeropuertos y Aviación Comercial S.A. (CORPAC S.A.),https://www.gob.pe/corpac,OTROS
Servicios Postales del Perú (SERPOST S.A.),https://www.gob.pe/serpost,OTROS
"Ministerio de Vivienda, Construcción y Saneamiento (VIVIENDA)",https://www.gob.pe/vivienda,MINISTERIO
Organismo de Formalización de la Propiedad Informal (COFOPRI),https://www.gob.pe/cofopri,ORGANISMO
Servicio Nacional de Capacitación para la Industria de la Construcción (SENCICO),https://www.gob.pe/sencico,SERVICIO
Superintendencia Nacional de Bienes Estatales (SBN),https://www.gob.pe/sbn,SUPERINTENDENCIA
Organismo Técnico de la Administración de los Servicios de Saneamiento (OTASS),https://www.gob.pe/otass,ORGANISMO
Servicio de Agua Potable y Alcantarillado de Lima (Sedapal),https://www.gob.pe/sedapal,SERVICIO
Ministerio de la Mujer y Poblaciones Vulnerables (MIMP),https://www.gob.pe/mimp,MINISTERIO
Consejo Nacional para la Integración de la Persona con Discapacidad (CONADIS),https://www.gob.pe/conadis,OTROS
Ministerio del Ambiente (MINAM),https://www.gob.pe/minam,MINISTERIO
Instituto Geofísico del Perú (IGP),https://www.gob.pe/igp,INSTITUTO
Servicio Nacional de Meteorología e Hidrología del Perú (SENAMHI),https://www.gob.pe/senamhi,SERVICIO
Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña (INAIGEM),https://www.gob.pe/inaigem,INSTITUTO
Instituto de Investigaciones de la Amazonía Peruana (IIAP),https://www.gob.pe/iiap,INSTITUTO
Organismo de Evaluación y Fiscalización Ambiental (OEFA),https://www.gob.pe/oefa,ORGANISMO
Servicio Nacional de Certificación Ambiental para las Inversiones Sostenibles (Senace),https://www.gob.pe/senace,SERVICIO
Servicio Nacional de Áreas Naturales Protegidas Por El Estado (SERNANP),https://www.gob.pe/sernanp,SERVICIO
Ministerio de Cultura (Cultura),https://www.gob.pe/cultura,MINISTERIO
Archivo General de la Nación (AGN),https://www.gob.pe/agn,OTROS
Biblioteca Nacional del Perú (BNP),https://www.gob.pe/bnp,OTROS
Instituto Nacional de Radio y Televisión del Perú (IRTP),https://www.gob.pe/irtp,INSTITUTO
Proyecto Qhapaq - Sede Nacional (Qhapaqnan),https://www.gob.pe/proyecto-qhapaq-sede-nacional,OTROS
Ministerio de Desarrollo e Inclusión Social (MIDIS),https://www.gob.pe/midis,MINISTERIO
Organismo de Focalización e Información Social (OFIS),https://www.gob.pe/ofis,ORGANISMO
"Instituto de Educacion Superior Pedagogico Publico ""mercedes Cabello de Carbonera"" (IESPPMCC)",https://www.gob.pe/iesppmercedescabellodecarbonera,INSTITUTO
Directorio Nacional de Funcionarios Públicos,https://www.gob.pe/funcionariospublicos,OTROS
Directorio de Establecimientos de Salud,https://www.gob.pe/establecimientosdesalud,OTROS
Directorio Nacional de Aeropuertos,https://www.gob.pe/aeropuertosperu,OTROS
